('facebook', 'com')
('Original*', 'facebook')
('bits-quatting: one letter', 'gacebook')
('bits-quatting: one letter', 'dacebook')
('bits-quatting: one letter', 'bacebook')
('bits-quatting: one letter', 'nacebook')
('bits-quatting: one letter', 'vacebook')
('bits-quatting: one letter', 'fccebook')
('bits-quatting: one letter', 'fecebook')
('bits-quatting: one letter', 'ficebook')
('bits-quatting: one letter', 'fqcebook')
('bits-quatting: one letter', 'fabebook')
('bits-quatting: one letter', 'faaebook')
('bits-quatting: one letter', 'fagebook')
('bits-quatting: one letter', 'fakebook')
('bits-quatting: one letter', 'fasebook')
('bits-quatting: one letter', 'facdbook')
('bits-quatting: one letter', 'facgbook')
('bits-quatting: one letter', 'facabook')
('bits-quatting: one letter', 'facmbook')
('bits-quatting: one letter', 'facubook')
('bits-quatting: one letter', 'facecook')
('bits-quatting: one letter', 'facefook')
('bits-quatting: one letter', 'facejook')
('bits-quatting: one letter', 'facerook')
('bits-quatting: one letter', 'facebnok')
('bits-quatting: one letter', 'facebmok')
('bits-quatting: one letter', 'facebkok')
('bits-quatting: one letter', 'facebgok')
('bits-quatting: one letter', 'facebonk')
('bits-quatting: one letter', 'facebomk')
('bits-quatting: one letter', 'facebokk')
('bits-quatting: one letter', 'facebogk')
('bits-quatting: one letter', 'facebooj')
('bits-quatting: one letter', 'facebooi')
('bits-quatting: one letter', 'facebooo')
('bits-quatting: one letter', 'facebooc')
('homo-squatting: graph-based', u'fac\xeabook')
('homo-squatting: graph-based', u'fac\u0115book')
('homo-squatting: graph-based', u'fa\u0188ebook')
('homo-squatting: graph-based', u'faceb\u01a1ok')
('homo-squatting: graph-based', u'\u03dcacebook')
('homo-squatting: graph-based', u'faceb\u03bf\u03bfk')
('homo-squatting: graph-based', u'f\u0103cebook')
('homo-squatting: graph-based', u'faceb\u0314ook')
('homo-squatting: graph-based', u'f\u0430cebook')
('homo-squatting: graph-based', 'facebo0k')
('homo-squatting: graph-based', u'faceb\u0555ok')
('homo-squatting: graph-based', u'facebo\u1ecfk')
('homo-squatting: graph-based', u'facebo\u01a1k')
('homo-squatting: graph-based', u'fac\u011bbook')
('homo-squatting: graph-based', u'f\u04d3cebook')
('homo-squatting: graph-based', u'faceb\u01a1\u01a1k')
('homo-squatting: graph-based', u'face\u0253ook')
('homo-squatting: graph-based', u'fac\xe9book')
('homo-squatting: graph-based', 'faceb00k')
('homo-squatting: graph-based', u'faceb\xf6\xf6k')
('homo-squatting: graph-based', u'f\u0251cebook')
('homo-squatting: graph-based', u'faceb\u04e7ok')
('homo-squatting: graph-based', u'face\u0411ook')
('homo-squatting: graph-based', u'facebo\u022fk')
('homo-squatting: graph-based', u'f\xe5cebook')
('homo-squatting: graph-based', u'faceb\u0555\u0555k')
('homo-squatting: graph-based', u'faceb\u1ecd\u1ecdk')
('homo-squatting: graph-based', u'fa\u0441ebook')
('homo-squatting: graph-based', u'f\u1ea1cebook')
('homo-squatting: graph-based', u'fac\u0113book')
('homo-squatting: graph-based', u'facebo\u03bfk')
('homo-squatting: graph-based', u'f\xe0cebook')
('homo-squatting: graph-based', u'faceboo\u2c95')
('homo-squatting: graph-based', u'f\xe2cebook')
('homo-squatting: graph-based', u'facebo\u1ecdk')
('homo-squatting: graph-based', u'\u0492acebook')
('homo-squatting: graph-based', u'facebo\u041ek')
('homo-squatting: graph-based', u'faceb\u043e\u043ek')
('homo-squatting: graph-based', u'fac\u1eb9book')
('homo-squatting: graph-based', u'fa\u03f2ebook')
('homo-squatting: graph-based', u'faceb\u03bfok')
('homo-squatting: graph-based', u'fa\u010bebook')
('homo-squatting: graph-based', 'facedook')
('homo-squatting: graph-based', u'\u0192acebook')
('homo-squatting: graph-based', 'facebooik')
('homo-squatting: graph-based', u'f\xe1cebook')
('homo-squatting: graph-based', u'facebo\u04e7k')
('homo-squatting: graph-based', u'faceb\xf3\xf3k')
('homo-squatting: graph-based', u'facebo\xf3k')
('homo-squatting: graph-based', u'faceb\u039fok')
('homo-squatting: graph-based', 'faceb0ok')
('homo-squatting: graph-based', u'faceb\u041e\u041ek')
('homo-squatting: graph-based', u'faceb\u1ecf\u1ecfk')
('homo-squatting: graph-based', u'faceb\u043eok')
('homo-squatting: graph-based', u'f\u01cecebook')
('homo-squatting: graph-based', u'fac\u0435book')
('homo-squatting: graph-based', u'fa\u0107ebook')
('homo-squatting: graph-based', u'faceb\u1ecdok')
('homo-squatting: graph-based', u'faceb\xf6ok')
('homo-squatting: graph-based', u'fac\u04bdbook')
('homo-squatting: graph-based', u'faceb\u041eok')
('homo-squatting: graph-based', u'fac\u0119book')
('homo-squatting: graph-based', u'fac\xebbook')
('homo-squatting: graph-based', u'faceb\u039f\u039fk')
('homo-squatting: graph-based', u'face\u042cook')
('homo-squatting: graph-based', u'facebo\u043ek')
('homo-squatting: graph-based', u'fac\u0454book')
('homo-squatting: graph-based', 'facelbook')
('homo-squatting: graph-based', u'facebo\u0555k')
('homo-squatting: graph-based', u'faceb\u022fok')
('homo-squatting: graph-based', u'faceboo\u03ba')
('homo-squatting: graph-based', u'facebo\u039fk')
('homo-squatting: graph-based', 'faceibook')
('homo-squatting: graph-based', u'fa\xe7ebook')
('homo-squatting: graph-based', u'f\u0227cebook')
('homo-squatting: graph-based', 'faceboolk')
('homo-squatting: graph-based', u'f\xe3cebook')
('homo-squatting: graph-based', 'faceboolc')
('homo-squatting: graph-based', u'faceb\xf3ok')
('homo-squatting: graph-based', u'faceb\u04e7\u04e7k')
('homo-squatting: graph-based', u'faceb\u022f\u022fk')
('homo-squatting: graph-based', u'f\xe4cebook')
('homo-squatting: graph-based', u'fac\u0117book')
('homo-squatting: graph-based', u'facebo\xf6k')
('homo-squatting: graph-based', u'fac\u03f5book')
('homo-squatting: graph-based', u'face\u0299ook')
('homo-squatting: graph-based', u'faceb\u1ecfok')
('homo-squatting: phone-based vowel-swap', 'fecebook')
('homo-squatting: phone-based vowel-swap', 'facibook')
('homo-squatting: phone-based vowel-swap', 'facobook')
